,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1545523883981275140,1545523883981275140,1657316583000.0,2022-07-08 21:43:03,+0000,,"Elon Musk said he is seeking to terminate his deal to buy Twitter, citing ""material breach of multiple provisions"" of the agreement  https://t.co/0CE3UnDgqq",en,[],[],28172926,28172926,WSJTech,WSJ Tech,5,21,https://twitter.com/WSJTech/status/1545523883981275140,['https://on.wsj.com/3IwUkIQ'],[],0,,False,7,2,3,,None,,,,,,,[],,,,
1,1511302657599754248,1511302657599754248,1649157606000.0,2022-04-05 11:20:06,+0000,,"Amazon is stepping up plans for a proposed space-based internet service that would compete with Elon Musk’s Starlink, buying dozens of satellite launches  https://t.co/mNnbLw1pr5",en,[],[],28172926,28172926,WSJTech,WSJ Tech,2,11,https://twitter.com/WSJTech/status/1511302657599754248,['https://on.wsj.com/3x1FjuR'],[],0,,False,22,2,10,,None,,,,,,,[],,,,
2,1506967837889474567,1506967837889474567,1648124105000.0,2022-03-24 12:15:05,+0000,,"Uber will list all New York City taxis on its app, which could help the ride-hailing giant alleviate a driver shortage and temper high fares  https://t.co/Sp0FEkUjyy",en,[],[],28172926,28172926,WSJTech,WSJ Tech,4,12,https://twitter.com/WSJTech/status/1506967837889474567,['https://on.wsj.com/3JCFZu9'],[],0,,False,8,3,3,,None,,,,,,,[],,,,
3,1505192375865556999,1505192375865556999,1647700802000.0,2022-03-19 14:40:02,+0000,,"A tech blockade will hurt Russia’s ability to get sophisticated semiconductors. The country’s chip-building technology lags behind industry leaders’ by more than 15 years, executives say.  https://t.co/T1FfLEVjVG",en,[],[],28172926,28172926,WSJTech,WSJ Tech,6,14,https://twitter.com/WSJTech/status/1505192375865556999,['https://on.wsj.com/3CWyefK'],[],0,,False,12,1,4,,None,,,,,,,[],,,,
4,1505175527052693504,1505175527052693504,1647696785000.0,2022-03-19 13:33:05,+0000,,"An artificial-intelligence system that monitors blue whale songs has a wake word similar to “Hey Siri” or “Alexa.” It’s “Brrrrrrr, gmmmm, awwwwwrrrghgh.”  https://t.co/BdyQbSw1QV",en,[],[],28172926,28172926,WSJTech,WSJ Tech,6,13,https://twitter.com/WSJTech/status/1505175527052693504,['https://on.wsj.com/3CRz7GF'],[],0,,False,16,2,8,,None,,,,,,,[],,,,
5,1504789616561467392,1504789616561467392,1647604776000.0,2022-03-18 11:59:36,+0000,,"In Russia, Telegram has become an increasingly popular destination for unfiltered news, pro-Kremlin propaganda and everything in between  https://t.co/FpjZlYbT3f",en,[],[],28172926,28172926,WSJTech,WSJ Tech,5,11,https://twitter.com/WSJTech/status/1504789616561467392,['https://on.wsj.com/3iikDWY'],[],0,,False,5,0,4,,None,,,,,,,[],,,,
6,1504443627631689738,1504443627631689738,1647522286000.0,2022-03-17 13:04:46,+0000,,New EU legislation would add to Apple’s fight to keep control of how it collects billions of dollars in commissions from in-app purchases  https://t.co/6xLjRJVQhb,en,[],[],28172926,28172926,WSJTech,WSJ Tech,4,13,https://twitter.com/WSJTech/status/1504443627631689738,['https://on.wsj.com/3IiJ3de'],[],0,,False,4,0,1,,None,,,,,,,[],,,,
7,1501564752224559113,1501564752224559113,1646835909000.0,2022-03-09 14:25:09,+0000,,"TikTok is facing one of the biggest challenges since its launch, as it grapples with misinformation about the war in Ukraine  https://t.co/zOgrjUCA3X",en,[],[],28172926,28172926,WSJTech,WSJ Tech,3,14,https://twitter.com/WSJTech/status/1501564752224559113,['https://on.wsj.com/3MzdTlb'],[],0,,False,4,1,1,,None,,,,,,,[],,,,
8,1501530114135400453,1501530114135400453,1646827650000.0,2022-03-09 12:07:30,+0000,,"A House panel wants Amazon investigated by the DOJ for possible criminal obstruction of Congress, according to people familiar and a letter with the request  https://t.co/8uM2fR7cHX",en,[],[],28172926,28172926,WSJTech,WSJ Tech,3,12,https://twitter.com/WSJTech/status/1501530114135400453,['https://on.wsj.com/3CtJr7F'],[],0,,False,6,1,5,,None,,,,,,,[],,,,
9,1495496028178587654,1495496028178587654,1645389012000.0,2022-02-20 20:30:12,+0000,,"You might think trying a standing desk will help you combat back pain. Good idea, but you’ll have a better chance of reaping the benefits if you consider investing in these accessories.",en,[],[],28172926,28172926,WSJTech,WSJ Tech,7,20,https://twitter.com/WSJTech/status/1495496028178587654,[],[],0,,False,3,4,1,,None,,,,,,,[],,,,
10,1493934140189777923,1493934140189777923,1645016629000.0,2022-02-16 13:03:49,+0000,,"Google plans to adopt new privacy restrictions to curtail tracking across apps on Android smartphones, following Apple in establishing restraints  https://t.co/EcoUb7xAo4",en,[],[],28172926,28172926,WSJTech,WSJ Tech,3,13,https://twitter.com/WSJTech/status/1493934140189777923,['https://on.wsj.com/3uUISSk'],[],0,,False,23,2,14,,None,,,,,,,[],,,,
11,1477044715790999555,1477044715790999555,1640989877000.0,2021-12-31 22:31:17,+0000,,Got a new Android phone for Christmas? Here are five ways to make it more you.  https://t.co/4b6WiuLvc0,en,[],[],28172926,28172926,WSJTech,WSJ Tech,5,22,https://twitter.com/WSJTech/status/1477044715790999555,['https://on.wsj.com/3qocUKs'],[],0,,False,10,3,1,,None,,,,,,,[],,,,
12,1476937743129268228,1476937743129268228,1640964372000.0,2021-12-31 15:26:12,+0000,,Google and its rivals are wielding a new weapon in the battle for cloud market share: investments in companies agreeing to sign on to their services  https://t.co/CTBxFTjXPH,en,[],[],28172926,28172926,WSJTech,WSJ Tech,5,15,https://twitter.com/WSJTech/status/1476937743129268228,['https://on.wsj.com/3mIK9qL'],[],0,,False,7,1,0,,None,,,,,,,[],,,,
13,1476686650675769361,1476686650675769361,1640904507000.0,2021-12-30 22:48:27,+0000,,Tesla’s Silicon Valley roots have underpinned its ability to navigate the global chip shortage and put the company on a path to record deliveries  https://t.co/NeSqBy6HNq,en,[],[],28172926,28172926,WSJTech,WSJ Tech,4,22,https://twitter.com/WSJTech/status/1476686650675769361,['https://on.wsj.com/3sElCXM'],[],0,,False,7,2,4,,None,,,,,,,[],,,,
14,1476623256081907722,1476623256081907722,1640889393000.0,2021-12-30 18:36:33,+0000,,"Desktop computers are making a comeback. Demand has jumped, as some employees returned to the office, and others cemented their work-from-home setups.  https://t.co/4HJpiiPSDM",en,[],[],28172926,28172926,WSJTech,WSJ Tech,4,18,https://twitter.com/WSJTech/status/1476623256081907722,['https://on.wsj.com/3mI8mO1'],[],0,,False,4,0,3,,None,,,,,,,[],,,,
15,1473787346730590219,1473787346730590219,1640213259000.0,2021-12-22 22:47:39,+0000,,Former Twitter CEO Jack Dorsey has triggered a debate among tech stalwarts over how decentralized the future internet may be  https://t.co/5NeqkrXIMI,en,[],[],28172926,28172926,WSJTech,WSJ Tech,3,22,https://twitter.com/WSJTech/status/1473787346730590219,['https://on.wsj.com/3FtQwG0'],[],0,,False,15,1,5,,None,,,,,,,[],,,,
16,1471859405713022976,1471859405713022976,1639753602000.0,2021-12-17 15:06:42,+0000,,"Big tech companies are escalating their fight against spies for hire. Meta Platforms says it removed about 1,500 Facebook and Instagram accounts it linked to “cyber mercenaries”  https://t.co/OXGQ8GWmZO",en,[],[],28172926,28172926,WSJTech,WSJ Tech,5,15,https://twitter.com/WSJTech/status/1471859405713022976,['https://on.wsj.com/3E2d5zK'],[],0,,False,5,4,2,,None,,,,,,,[],,,,
17,1471521290372751361,1471521290372751361,1639672989000.0,2021-12-16 16:43:09,+0000,,The U.S. said more Chinese technology companies will be restricted from accessing U.S. investment and technology for their alleged support for China’s mass surveillance of mainly Muslim ethnic groups  https://t.co/o54jre3oJ0,en,[],[],28172926,28172926,WSJTech,WSJ Tech,4,16,https://twitter.com/WSJTech/status/1471521290372751361,['https://on.wsj.com/3s5YxNo'],[],0,,False,2,1,4,,None,,,,,,,[],,,,
18,1468351006056620041,1468351006056620041,1638917135000.0,2021-12-07 22:45:35,+0000,,"Stan Chudnovsky, who oversees Facebook’s Messenger, says he would leave the company next year, the latest executive to disclose departure plans from the social-media platform  https://t.co/Y5UlGyVnz1",en,[],[],28172926,28172926,WSJTech,WSJ Tech,2,22,https://twitter.com/WSJTech/status/1468351006056620041,['https://on.wsj.com/3y2qqH9'],[],0,,False,2,1,0,,None,,,,,,,[],,,,
19,1467673368237428739,1467673368237428739,1638755573000.0,2021-12-06 01:52:53,+0000,,"Smart beds tout features like sleep tracking and climate control. But does the technology actually produce a better night’s rest? WSJ asked Dr. Wendy Troxel, a clinical psychologist trained in sleep medicine, for her expert opinion.  https://t.co/UZMgGt5YUe",en,[],[],28172926,28172926,WSJTech,WSJ Tech,1,01,https://twitter.com/WSJTech/status/1467673368237428739,['https://on.wsj.com/3djKtHv'],[],0,,False,5,1,2,,None,,,,,,,[],,,,
20,1467237350342369288,1467237350342369288,1638651618000.0,2021-12-04 21:00:18,+0000,,Apple’s vision for life after the iPhone is coming into view  https://t.co/6ppovtJvVJ,en,[],[],28172926,28172926,WSJTech,WSJ Tech,6,21,https://twitter.com/WSJTech/status/1467237350342369288,['https://on.wsj.com/3301B35'],[],0,,False,20,1,7,,None,,,,,,,[],,,,
21,1467184614456315915,1467184614456315915,1638639045000.0,2021-12-04 17:30:45,+0000,,Entrepreneurs are working to enable consumers to control and benefit from the personal data that the tech industry collects  https://t.co/zMP2IlkeDT,en,[],[],28172926,28172926,WSJTech,WSJ Tech,6,17,https://twitter.com/WSJTech/status/1467184614456315915,['https://on.wsj.com/3di0UUD'],[],0,,False,8,2,6,,None,,,,,,,[],,,,
22,1467144662196572170,1467144662196572170,1638629520000.0,2021-12-04 14:52:00,+0000,,"Gadgets that monitor electricity, charge with solar power, make use of recycled ocean plastic and more. @nicnguyen suggests green gifts for techies.  https://t.co/ND1M94vr35",en,[],[],28172926,28172926,WSJTech,WSJ Tech,6,14,https://twitter.com/WSJTech/status/1467144662196572170,['https://on.wsj.com/3oiPohX'],[],0,,False,2,0,1,,None,,,,,,,[],,,,
23,1466782929699414023,1466782929699414023,1638543276000.0,2021-12-03 14:54:36,+0000,,"Instagram is encouraging users to create a second account. Is that eas­ier than try­ing to clean up a feed over­run with strangers, for­got­ten in­ter­ests and ads, asks @dalvin_brown.  https://t.co/qzbPmboSvE",en,[],[],28172926,28172926,WSJTech,WSJ Tech,5,14,https://twitter.com/WSJTech/status/1466782929699414023,['https://on.wsj.com/3lypbu3'],[],0,,False,14,2,4,,None,,,,,,,[],,,,
